awarding_office,fain,award_num,org_type,recip_name_standardized,recipient_name,RecipientState,RecipientCountry,date_terminated,amt_obligated,amt_expended,total_payment_amt,amt_unliquidated,award_title,pres_action,for_cause,for_cause_num
"CDC","NU50CK000513","19NU50CK000513C4","COFA Nations","FEDERATED STATES OF MICRONESIA","FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS","MICRONESIA","UNITED STATES",24mar2025,4439135,2980812.21,2980812.21,1458322.79,"2019 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)","N/A - Departmental Authority","-",0
"CDC","NU50CK000513","19NU50CK000513EDEXC5","COFA Nations","FEDERATED STATES OF MICRONESIA","FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS","MICRONESIA","UNITED STATES",24mar2025,5893978,2840459.26,2840459.26,3053518.74,"2019 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)","N/A - Departmental Authority","-",0
"SAMHSA","B08TI083536","1B08TI083536-01","COFA Nations","FEDERATED STATES OF MICRONESIA","FSM DEPT OF HEALTH AND SOCIAL AFFAIRS","MICRONESIA","UNITED STATES",24mar2025,662313,450785.25,443904.51,218408.49,"MENTAL HEALTH BLOCK GRANT - COVID RELIEF","N/A - Departmental Authority","-",0
"SAMHSA","B08TI083948","1B08TI083948-01","COFA Nations","FEDERATED STATES OF MICRONESIA","FSM DEPT OF HEALTH AND SOCIAL AFFAIRS","MICRONESIA","UNITED STATES",24mar2025,571998,281391.67,261439.31,310558.69,"SUBTANCE USE BLOCK GRANT - ARP","N/A - Departmental Authority","-",0
"SAMHSA","B09SM085389","1B09SM085389-01","COFA Nations","FEDERATED STATES OF MICRONESIA","FSM DEPT OF HEALTH AND SOCIAL AFFAIRS","MICRONESIA","UNITED STATES",24mar2025,571998,165982.64,165982.64,406015.36,"MENTAL HEALTH BLOCK GRANT - ARP","N/A - Departmental Authority","-",0
"CDC","NH23IP922593","20NH23IP922593C6","COFA Nations","FEDERATED STATES OF MICRONESIA","FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS","MICRONESIA","UNITED STATES",24mar2025,2320198,972218.23,972218.23,1347979.77,"IMMUNIZATION AND VACCINES FOR CHILDREN","N/A - Departmental Authority","-",0
"CDC","NH23IP922593","20NH23IP922593UDSPC5","COFA Nations","FEDERATED STATES OF MICRONESIA","FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS","MICRONESIA","UNITED STATES",24mar2025,100000,,,100000,"IMMUNIZATION AND VACCINES FOR CHILDREN","N/A - Departmental Authority","-",0
"CDC","NU50CK000533","19NU50CK000533C4","COFA Nations","REPUBLIC OF PALAU","REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES","PALAU","UNITED STATES",24mar2025,3556285,2735745.27,2735745.27,820539.73,"2019 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)","N/A - Departmental Authority","-",0
"CDC","NU50CK000533","19NU50CK000533EDEXC5","COFA Nations","REPUBLIC OF PALAU","REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES","PALAU","UNITED STATES",24mar2025,1249017,495257.99,495257.99,753759.01,"2019 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)","N/A - Departmental Authority","-",0
"CDC","NH23IP922576","20NH23IP922576C6","COFA Nations","REPUBLIC OF PALAU","REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES","PALAU","UNITED STATES",24mar2025,1578482,228027.05,228027.05,1350454.95,"IMMUNIZATION AND VACCINES FOR CHILDREN","N/A - Departmental Authority","-",0
"CDC","NH23IP922576","20NH23IP922576UDSPC5","COFA Nations","REPUBLIC OF PALAU","REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES","PALAU","UNITED STATES",24mar2025,100000,,,100000,"IMMUNIZATION AND VACCINES FOR CHILDREN","N/A - Departmental Authority","-",0
"CDC","NU58DP007021","21NU58DP007021C3","COFA Nations","REPUBLIC OF PALAU","PALAU MINISTRY OF HEALTH","PALAU","UNITED STATES",24mar2025,1050000,708238.8,708238.8,341761.2,"COMMUNITY HEALTH WORKERS FOR COVID RESPONSE AND RESILIENT COMMUNITIES (CCR)","N/A - Departmental Authority","-",0
"CDC","NU50CK000558","19NU50CK000558C4","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES","MARSHALL ISLANDS","UNITED STATES",24mar2025,3883209,2895708.23,2895708.23,987500.77,"2019 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)","N/A - Departmental Authority","-",0
"CDC","NU50CK000558","19NU50CK000558EDEXC5","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES","MARSHALL ISLANDS","UNITED STATES",24mar2025,4483798,2184630.29,2184630.29,2299167.71,"2019 EPIDEMIOLOGY AND LABORATORY CAPACITY FOR PREVENTION AND CONTROL OF EMERGING INFECTIOUS DISEASES (ELC)","N/A - Departmental Authority","-",0
"SAMHSA","B08TI083551","1B08TI083551-01","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REPUBLIC/MARSHALL IS MINISTRY OF FINANCE","MARSHALL ISLANDS","UNITED STATES",24mar2025,483646,,,483646,"MENTAL HEALTH BLOCK GRANT - COVID RELIEF","N/A - Departmental Authority","-",0
"SAMHSA","B08TI083983","1B08TI083983-01","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REPUBLIC/MARSHALL IS MINISTRY OF FINANCE","MARSHALL ISLANDS","UNITED STATES",24mar2025,417694,,,417694,"SUBTANCE USE BLOCK GRANT - ARP","N/A - Departmental Authority","-",0
"SAMHSA","B08TI084584","1B08TI084584-01","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REPUBLIC/MARSHALL IS MINISTRY OF FINANCE","MARSHALL ISLANDS","UNITED STATES",24mar2025,125000,,,125000,"SUBTANCE USE BLOCK GRANT - ARP","N/A - Departmental Authority","-",0
"SAMHSA","B09SM083955","1B09SM083955-01","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REP/MARSHALL ISLANDS- MINISTRY OF HEALTH","MARSHALL ISLANDS","UNITED STATES",24mar2025,241823,,,241823,"MENTAL HEALTH BLOCK GRANT - COVID RELIEF","N/A - Departmental Authority","-",0
"SAMHSA","B09SM085387","1B09SM085387-01","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REP/MARSHALL ISLANDS- MINISTRY OF HEALTH","MARSHALL ISLANDS","UNITED STATES",24mar2025,417694,,,417694,"MENTAL HEALTH BLOCK GRANT - ARP","N/A - Departmental Authority","-",0
"SAMHSA","B09SM085915","1B09SM085915-01","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REP/MARSHALL ISLANDS- MINISTRY OF HEALTH","MARSHALL ISLANDS","UNITED STATES",24mar2025,125000,,,125000,"MENTAL HEALTH BLOCK GRANT - ARP","N/A - Departmental Authority","-",0
"CDC","NH23IP922588","20NH23IP922588C5","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES","MARSHALL ISLANDS","UNITED STATES",24mar2025,1136309,,,1136309,"IMMUNIZATION AND VACCINES FOR CHILDREN","N/A - Departmental Authority","-",0
"CDC","NH23IP922588","20NH23IP922588UDSPC5","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES","MARSHALL ISLANDS","UNITED STATES",24mar2025,100000,,,100000,"IMMUNIZATION AND VACCINES FOR CHILDREN","N/A - Departmental Authority","-",0
"CDC","NH75OT000014","21NH75OT000014C5","COFA Nations","REPUBLIC OF THE MARSHALL ISLANDS","MINISTRY OF HEALTH IN THE REPU BLIC OF THE MARSHALL ISLANDS","MARSHALL ISLANDS","UNITED STATES",24mar2025,654603,551720.51,551720.51,102882.49,"NATIONAL INITIATIVE TO ADDRESS COVID-19 HEALTH DISPARITIES AMONG POPULATIONS AT HIGH-RISK AND UNDERSERVED, INCLUDING RACIAL AND ETHNIC MINORITY POPULATIONS AND RURAL COMMUNITIES","N/A - Departmental Authority","-",0
"NIH","R44AG082602","3R44AG082602-01A1S1","For-Profit/Commercial","BELLAGE, INC.","BELLAGE, INC.","NEW YORK","UNITED STATES",29apr2025,664556,644889,644889,19667,"EXPANDING THE AWC PROTOTYPE WITH ADDITIONAL REPORTING AND ANALYTICS FEATURES (SUPPLEMENT TO R44AG082602, ADULT WELLBEING CHECKUP (AWC))","N/A - Departmental Authority","-",0
"NIH","R44MH123368","3R44MH123368-05S1","For-Profit/Commercial","COLLIGA APPS CORP.","COLLIGA APPS CORP.","TEXAS","UNITED STATES",28apr2025,3605144,3426819,3426819,178325,"THE DEVELOPMENT AND SYSTEMATIC EVALUATION OF AN AI- ASSISTED JUST-IN-TIME-ADAPTIVE-INTERVENTION FOR IMPROVING CHILD MENTAL HEALTH","N/A - Departmental Authority","-",0
