awarding_office,fain,award_num,recipient_name,date_terminated,amt_obligated,amt_expended,total_payment_amt,amt_unliquidated,award_title,pres_action,for_cause
"ACF","90CA1896","90CA1896","AMERICAN BAR ASSOCIATION",20feb2025,500000,99362.99000000001,99362.99000000001,400637.01,"MICHIGAN STOP OVERREPORTING OUR PEOPLE (MI STOP)","N/A - Termination for
Cause","X"
"FDA","U01FD005937","5U01FD005937-09","World Health Organization",28jan2025,255000,255000,255000,,"Global Food safety Intiatives and Scientific advice","N/A - Departmental
Authority","-"
"FDA","U01FD007503","5U01FD007503-04","World Health Organization",28jan2025,1715000,,,1715000,"Collaboration in Regulatory Systems Strengthening and Standardization Activities to Increase Global access to safe
and effective Biological Products.","N/A - Departmental Authority","-"
"FDA","U01FD008391","1U01FD008391-01","World Health Organization",28jan2025,750000,264486,264486,485514,"Strengthen regulatory systems to improve global food and
medical product quality and safety.","N/A - Departmental
Authority","-"
"FDA","U01FD007878","5U18FD007878-02","World Health Organization",28jan2025,400000,124387,124387,275613,"Building Research Capacity in Global Tobacco Product
Regulation Program","N/A - Departmental
Authority","-"
"FDA","U01FD007886","1U01FD007886-01","Texas Women's University",27mar2025,500000,59438.61,59438.61,59438.61,"Mitigating the Spread of Misinformation and Disinformation about COVID-19 Prevention and Treatment Initiatives
among Hispanics","N/A - Termination for Cause","X"
"FDA","U01FD007884","1U01FD007884-01","University of Maryland
Baltimore",27mar2025,499998,478757.29,478757.29,21240.71,"Community-Defined Measures to Bridge Health Equity Gaps
for COVID-19: Small Town and Rural Needs","N/A - Termination for
Cause","X"
"FDA","U01FD007776","1U01FD007776-01","Indiana State University",27mar2025,115565,82218.45,82218.45,53346.55,"Examining misinformation correction strategies to encourage clinical trial participation among Black Americans","N/A - Termination for Cause","X"
"SAMHSA","B09SM085332","1B09SM085332-01","ALABAMA STATE DEPT OF MTL
HLTH & MTL RET",24mar2025,20632249,5516739.88,5516739.88,15115509,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083982","1B08TI083982-01","ALABAMA STATE DEPT OF MTL
HLTH & MTL RET",24mar2025,18690785,12187045.88,12187045.88,6503739,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084622","1B08TI084622-01","ALABAMA STATE DEPT OF MTL
HLTH & MTL RET",24mar2025,651084,399400.54,399400.54,251683,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083523","1B08TI083523-01","ALABAMA STATE DEPT OF MTL
HLTH & MTL RET",24mar2025,21641962,21455144.07,21455144.07,186818,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM083957","1B09SM083957-01","ALABAMA STATE DEPT OF MTL
HLTH & MTL RET",24mar2025,11944986,11427427.94,11427427.94,517558,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085333","1B09SM085333-01","ALASKA STATE DEPARTMENT
OF HLTH-SOC SVCS",24mar2025,3228772,2649664.45,2649664.45,579108,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083926","1B08TI083926-01","ALASKA STATE DEPARTMENT
OF HLTH-SOC SVCS",24mar2025,4767166,3608596.33,3608596.33,1158570,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083524","1B08TI083524-01","ALASKA STATE DEPARTMENT
OF HLTH-SOC SVCS",24mar2025,5519877,5392225.01,5392225.01,127652,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085336","1B09SM085336-01","DIVISION OF AGING ADULT
AND BEHAVIORAL HEALTH SERVICES",24mar2025,12487030,5805353.45,5805353.45,6681677,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085863","1B09SM085863-01","DIVISION OF AGING ADULT
AND BEHAVIORAL HEALTH SERVICES",24mar2025,429725,199939.89,199939.89,229785,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083928","1B08TI083928-01","DIVISION OF AGING ADULT AND BEHAVIORAL HEALTH
SERVICES",24mar2025,10947991,6696839.23,6696839.23,4251152,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083526","1B08TI083526-01","DIVISION OF AGING ADULT AND BEHAVIORAL HEALTH
SERVICES",24mar2025,12676621,12354885.64,12354885.64,321735,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM083944","1B09SM083944-01","DIVISION OF AGING ADULT AND BEHAVIORAL HEALTH
SERVICES",24mar2025,7229333,6789038.88,6789038.88,440294,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B08TI083495","1B08TI083495-01","FL ST DEPARTMENT OF CHILDREN AND FAMILIES",24mar2025,104396719,97367121.52,97367121.52,7029597,"Substance Use Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM085351","1B09SM085351-01","FLORIDA STATE DEPARTMENT
OF CHILDREN AND FAMILIES",24mar2025,94807356,77218735.54000001,77218735.54000001,17588620,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085879","1B09SM085879-01","FLORIDA STATE DEPARTMENT
OF CHILDREN AND FAMILIES",24mar2025,3262670,,,3262670,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083933","1B08TI083933-01","FLORIDA STATE DEPARTMENT
OF CHILDREN AND FAMILIES",24mar2025,90160803,75819555.75,75819555.75,14341247,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084574","1B08TI084574-01","FLORIDA STATE DEPARTMENT
OF CHILDREN AND FAMILIES",24mar2025,3058139,,,3058139,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085389","1B09SM085389-01","FSM DEPT OF HEALTH AND
SOCIAL AFFAIRS",24mar2025,571998,165982.64,165982.64,406015,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083948","1B08TI083948-01","FSM DEPT OF HEALTH AND
SOCIAL AFFAIRS",24mar2025,571998,261439.31,261439.31,310559,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083536","1B08TI083536-01","FSM DEPT OF HEALTH AND
SOCIAL AFFAIRS",24mar2025,662313,443904.51,443904.51,218408,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085388","1B09SM085388-01","GEORGIA DEPARTMENT OF
BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES (DBHDD)",24mar2025,45668812,28070867.59,28070867.59,17597944,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085916","1B09SM085916-01","GEORGIA DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES
(DBHDD)",24mar2025,1571632,1326628.05,1326628.05,245004,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083934","1B08TI083934-01","GEORGIA DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES
(DBHDD)",24mar2025,46264340,37375872.23,37375872.23,8888468,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083530","1B08TI083530-01","GEORGIA DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES (DBHDD)",24mar2025,53569236,49722627.18,49722627.18,3846609,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM084001","1B09SM084001-01","GEORGIA DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES
(DBHDD)",24mar2025,26439839,20629084.21,20629084.21,5810755,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM085352","1B09SM085352-01","GUAM BEHAVIORAL HEALTH
AND WELLNESS CENTER",24mar2025,925921,470217.95,470217.95,455703,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083935","1B08TI083935-01","GUAM DEPARTMENT OF
ADMINISTRATION",24mar2025,925921,819437.78,819437.78,106483,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085354","1B09SM085354-01","IDAHO STATE DEPT OF HEALTH
AND WELFARE",24mar2025,8417665,3166971.43,3166971.43,5250694,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083936","1B08TI083936-01","IDAHO STATE DEPT OF HEALTH
AND WELFARE",24mar2025,6909704,5817538.76,5817538.76,1092165,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM083970","1B09SM083970-01","IDAHO STATE DEPT OF HEALTH
AND WELFARE",24mar2025,4873385,4512740.45,4512740.45,360645,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085386","1B09SM085386-01","INDIANA FAMILY & SOCIAL
SERVICES ADMIN",24mar2025,25576844,15313703.79,15313703.79,10263140,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085914","1B09SM085914-01","INDIANA FAMILY & SOCIAL SERVICES ADMIN",24mar2025,880193,99720.35000000001,99720.35000000001,780473,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083939","1B08TI083939-01","INDIANA FAMILY & SOCIAL
SERVICES ADMIN",24mar2025,26102993,12933609.26,12933609.26,13169384,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084578","1B08TI084578-01","INDIANA FAMILY & SOCIAL
SERVICES ADMIN",24mar2025,882589,182778.32,182778.32,699811,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083532","1B08TI083532-01","INDIANA FAMILY & SOCIAL
SERVICES ADMIN",24mar2025,30224518,29212277.4,29212277.4,1012241,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM084000","1B09SM084000-01","INDIANA FAMILY & SOCIAL
SERVICES ADMIN",24mar2025,14807647,14376802.56,14376802.56,430844,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085356","1B09SM085356-01","IOWA STATE DEPT OF HUMAN
SERVICES",24mar2025,11198457,8147849.27,8147849.27,3050608,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085884","1B09SM085884-01","IOWA STATE DEPT OF HUMAN
SERVICES",24mar2025,385380,233544.26,233544.26,151836,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083938","1B08TI083938-01","IOWA STATE DEPT OF PUBLIC HEALTH",24mar2025,10598978,7734331.13,7734331.13,2864647,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085357","1B09SM085357-01","KANSAS STATE DEPARTMENT FOR AGING AND DISABILITY
SERVICES",24mar2025,10425027,6218322.09,6218322.09,4206705,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085885","1B09SM085885-01","KANSAS STATE DEPARTMENT FOR AGING AND DISABILITY
SERVICES",24mar2025,358764,34904.28,34904.28,323860,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083940","1B08TI083940-01","KANSAS STATE DEPARTMENT FOR AGING AND DISABILITY
SERVICES",24mar2025,9632698,6854769.79,6854769.79,2777928,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM083973","1B09SM083973-01","KANSAS STATE DEPARTMENT FOR AGING AND DISABILITY
SERVICES",24mar2025,6035542,3726127.68,3726127.68,2309414,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B08TI083942","1B08TI083942-01","LOUISIANA STATE
DEPARTMENT OF HEALTH",24mar2025,20258730,8515629.300000001,8515629.300000001,11743101,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084581","1B08TI084581-01","LOUISIANA STATE
DEPARTMENT OF HEALTH",24mar2025,674083,243353.83,243353.83,430729,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083534","1B08TI083534-01","LOUISIANA STATE
DEPARTMENT OF HEALTH",24mar2025,23457477,20519453.7,20519453.7,2938023,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085359","1B09SM085359-01","LOUISIANA STATE OFFICE OF
BEHAVIORAL HEALTH",24mar2025,20684792,2143105.56,2143105.56,18541686,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085887","1B09SM085887-01","LOUISIANA STATE OFFICE OF
BEHAVIORAL HEALTH",24mar2025,711840,381114.8,381114.8,330725,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM083975","1B09SM083975-01","LOUISIANA STATE OFFICE OF
BEHAVIORAL HEALTH",24mar2025,11975406,11424313.65,11424313.65,551092,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085365","1B09SM085365-01","MISSISSIPPI STATE DEPARTMENT OF MENTAL
HEALTH",24mar2025,13052279,3860229.22,3860229.22,9192050,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085893","1B09SM085893-01","MISSISSIPPI STATE DEPARTMENT OF MENTAL HEALTH",24mar2025,449177,162583.16,162583.16,286594,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083950","1B08TI083950-01","MISSISSIPPI STATE DEPARTMENT OF MENTAL
HEALTH",24mar2025,11173892,2353752.8,2353752.8,8820139,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI084590","1B08TI084590-01","MISSISSIPPI STATE
DEPARTMENT OF MENTAL HEALTH",24mar2025,379927,181061.1,181061.1,198866,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083505","1B08TI083505-01","MISSISSIPPI STATE DEPARTMENT OF MENTAL
HEALTH",24mar2025,12938191,10276261.47,10276261.47,2661930,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
